Fecha;Ventas_OC;Ventas_IC;Importaciones_OC;Importaciones_IC;Lead_days
10/1/2019;580,183;660,960;1,398,070;2,558,640;
11/1/2019;450,342;457,310;396,078;659,510;
12/1/2019;522,673;532,795;447,480;1,437,770;
1/1/2020;693,131;690,375;667,676;689,050;
2/1/2020;423,084;359,760;259,420;574,460;
3/1/2020;485,616;607,615;367,590;606,670;
4/1/2020;632,022;706,415;904,520;323,440;
5/1/2020;506,001;479,400;810,804;958,800;
6/1/2020;531,172;603,280;217,280;336,300;
7/1/2020;613,771;723,610;899,812;654,000;
8/1/2020;415,024;444,840;301,480;334,800;
9/1/2020;545,920;519,695;1,124,280;1,283,280;
10/1/2020;658,983;860,330;259,978;612,540;
11/1/2020;403,043;366,055;667,188;292,860;
12/1/2020;527,994;526,325;244,110;410,850;
1/1/2021;672,847;787,540;464,184;658,140;
2/1/2021;418,702;347,320;171,346;630,090;
3/1/2021;532,689;659,135;575,354;404,190;
4/1/2021;679,312;747,355;596,024;743,460;
5/1/2021;449,722;464,170;752,240;660,660;
6/1/2021;536,469;576,460;166,600;625,890;
7/1/2021;636,015;777,845;1,094,284;1,023,810;
8/1/2021;452,640;527,480;395,950;552,060;
9/1/2021;624,045;560,535;209,300;305,880;
10/1/2021;699,548;736,215;457,190;356,010;54
11/1/2021;388,488;499,410;190,250;1,023,000;58
12/1/2021;460,181;608,265;278,470;24,000;73
1/1/2022;684,312;832,830;885,520;1,334,640;68
2/1/2022;425,310;406,765;358,900;562,260;62
3/1/2022;570,687;683,050;709,830;257,520;55
4/1/2022;694,597;818,315;778,070;1,204,500;56
5/1/2022;445,103;462,855;584,470;294,570;72
6/1/2022;572,084;693,885;550,930;370,020;62
7/1/2022;684,191;698,040;451,070;2,729,220;69
8/1/2022;594,330;593,120;1,246,004;205,500;54
9/1/2022;579,303;561,005;13,050; -   ;68
10/1/2022;825,724;756,065;1,266,300;1,801,620;77
11/1/2022;574,183;441,975;237,370;614,100;65
12/1/2022;600,579;655,745;623,156;578,550;76
1/1/2023;747,624;852,640;851,570;1,081,500;55
2/1/2023;519,579;511,310;583,050;201,780;70
3/1/2023;626,126;791,050;733,710;695,070;66
4/1/2023;725,456;844,680;467,390;470,760;59
5/1/2023;526,858;515,440;747,050;461,610;67
6/1/2023;672,954;809,940;1,326,450;712,170;69
7/1/2023;552,497;674,740;596,650;1,006,110;72
8/1/2023;687,972;776,872;1,125,044;1,002,660;54
9/1/2023;545,343;625,280;423,550; -   ;78
10/1/2023;732,956;780,640;298,020;682,260;41
11/1/2023;562,594;642,030;1,285,346;516,360;68
12/1/2023;448,964;552,030;416,840;1,142,970;64
1/1/2024;804,116;777,160;578,560;1,204,320;97
2/1/2024;512,744;644,520;272,300;343,500;45
3/1/2024;478,719;609,880;887,190;632,640;54
4/1/2024;545,194;697,870;536,480;901,530;62
5/1/2024;621,955;616,200;447,900;721,290;60
6/1/2024;749,486;795,000;186,390;18,540;54
7/1/2024;563,471;595,500;1,167,612;593,610;53
8/1/2024;815,719;586,510;265,858;344,280;51
9/1/2024;569,468;758,700;511,780;566,580;53
10/1/2024;847,206;732,870;744,260;376,500;47
11/1/2024;901,061;679,230;375,200;250,080;42
12/1/2024;800,300;730,060;992,420;1,692,600;54
1/1/2025;1,134,984;874,960;1,012,658;482,820;62
2/1/2025;648,296;622,330;636,432;480,120;43
3/1/2025;676,537;727,010;1,378,760;985,200;54
4/1/2025;824,314;681,290;508,380;693,600;49
5/1/2025;841,888;743,750;1,458,466;1,360,140;58
6/1/2025;678,680;750,130;1,114,564;292,140;67
